review_id,row_position,review_priority_score,review_reason,text_input,base_predicted_labels,rules_predicted_labels,embeddings_predicted_labels,llm_few_shot_predicted_labels,llm_zero_shot_predicted_labels
1,4738,0.812796,desacuerdo_alto_entre_tecnicas;conflicto_normal_vs_ataque;baja_confianza_o_incertidumbre;posible_multietiqueta;etiqueta_predicha_poco_frecuente,request_http_method: MOVE | request_http_request: /blog/wp-content/plugins/user-registration | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0 | request_referer: https://test-site.com/blog/index.php/my-account/ | request_host: test-site.com | request_cookie: wordpress_logged_in_1aefbe2f76edd740f8e362f39da3353b=rafael%7C1595323524%7C6tC0Bz0qiJuGChXpFpxWSj0f3S8yenNYTdZsIhm2LRR%7Cbabde797833e7bb3ef2675427c083c091406c9fd8627fefa2d894bad550a3656; wordpress_test_cookie=WP+Cookie+check; wordpress_1aefbe2f76edd740f8e362f39da3353b=rafael%7C1595323524%7C6tC0Bz0qiJuGChXpFpxWSj0f3S8yenNYTdZsIhm2LRR%7Cea76acf40432d01571f1ddc104c4b93a8dc3b723ce1ad1bfd305049012f36e39,274 - HTTP Verb Tampering;34 - HTTP Response Splitting,274 - HTTP Verb Tampering,34 - HTTP Response Splitting,000 - Normal,000 - Normal
2,1992,0.807429,desacuerdo_alto_entre_tecnicas;conflicto_normal_vs_ataque;baja_confianza_o_incertidumbre;posible_multietiqueta,request_http_method: GET | request_http_request: /blog/%24%7B%40print%28chr%28122%29.chr%2897%29.chr%28112%29.chr%2895%29.chr%28116%29.chr%28111%29.chr%28107%29.chr%28101%29.chr%28110%29%29%7D/2020/04/04/nihil-tenetur-et-ad-in-dolores/embed | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0 | request_host: test-site.com | request_cookie: comment_author_url_1aefbe2f76edd740f8e362f39da3353b=http%3A%2F%2Fwww.example.com; comment_author_email_1aefbe2f76edd740f8e362f39da3353b=foo-bar%40example.com; comment_author_1aefbe2f76edd740f8e362f39da3353b=opinion; wordpress_test_cookie=WP+Cookie+check,000 - Normal,153 - Input Data Manipulation,194 - Fake the Source of Data,242 - Code Injection,153 - Input Data Manipulation;274 - HTTP Verb Tampering
3,1995,0.780514,desacuerdo_alto_entre_tecnicas;conflicto_normal_vs_ataque;baja_confianza_o_incertidumbre;posible_multietiqueta,request_http_method: GET | request_http_request: /blog/%24%7B%40print%28chr%28122%29.chr%2897%29.chr%28112%29.chr%2895%29.chr%28116%29.chr%28111%29.chr%28107%29.chr%28101%29.chr%28110%29%29%7D/2020/04/04/rerum-soluta-et-quis-excepturi-labore | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0 | request_referer: http://test-site.com/blog/index.php/2020/04/04/rerum-soluta-et-quis-excepturi-labore/ | request_host: test-site.com | request_cookie: comment_author_url_1aefbe2f76edd740f8e362f39da3353b=http%3A%2F%2Fwww.example.com; comment_author_email_1aefbe2f76edd740f8e362f39da3353b=foo-bar%40example.com; comment_author_1aefbe2f76edd740f8e362f39da3353b=discussion; wordpress_test_cookie=WP+Cookie+check,000 - Normal,153 - Input Data Manipulation,000 - Normal,242 - Code Injection,153 - Input Data Manipulation;274 - HTTP Verb Tampering
4,2260,0.773475,desacuerdo_alto_entre_tecnicas;conflicto_normal_vs_ataque;baja_confianza_o_incertidumbre;posible_multietiqueta,request_http_method: POST | request_http_request: /blog/index.php/my-account/edit-profile/?mode=grid | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0 | request_referer: http://test-site.com/blog/index.php/my-account/edit-profile/?mode=grid | request_host: test-site.com | request_cookie: comment_author_url_1aefbe2f76edd740f8e362f39da3353b=http%3A%2F%2Fwww.example.com; comment_author_email_1aefbe2f76edd740f8e362f39da3353b=foo-bar%40example.com; comment_author_1aefbe2f76edd740f8e362f39da3353b=problem; wordpress_test_cookie=WP+Cookie+check | request_content_type: application/x-www-form-urlencoded | request_body: username=lyingTermite3&password=P&&GOf$l&user-registration-login-nonce=6eac0e2d5f%0Asleep+15%0A&_wp_http_referer=%2Fblog%2Findex.php%2Fmy-account%2Fedit-profile%2F%3Fmode%3Dgrid&login=Login&redirect=&rememberme=forever,000 - Normal,34 - HTTP Response Splitting;33 - HTTP Request Smuggling,000 - Normal,88 - OS Command Injection,242 - Code Injection;33 - HTTP Request Smuggling
5,535,0.765975,desacuerdo_alto_entre_tecnicas;conflicto_normal_vs_ataque;baja_confianza_o_incertidumbre;posible_multietiqueta,request_http_method: POST | request_http_request: /blog/index.php/my-account/edit-profile/post.php/?action=edit&post=%7B%7B%20data.id%20%7D%7D | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0 | request_referer: http://test-site.com/blog/index.php/my-account/edit-profile/post.php/?action=edit&post=%7B%7B%20data.id%20%7D%7D | request_host: test-site.com | request_cookie: wordpress_test_cookie=WP+Cookie+check | request_content_type: https://www.google.com | request_body: username=ecstaticMacaw0&password=ITbycfpq&user-registration-login-nonce=6eac0e2d5f&_wp_http_referer=%2Fblog%2Findex.php%2Fmy-account%2Fedit-profile%2Fpost.php%2F%3Faction%3Dedit%26post%3D%257B%257B%2520data.id%2520%257D%257D&login=Login&redirect=&rememberme=forever,000 - Normal,153 - Input Data Manipulation,000 - Normal,242 - Code Injection,153 - Input Data Manipulation;274 - HTTP Verb Tampering
6,2231,0.765975,desacuerdo_alto_entre_tecnicas;conflicto_normal_vs_ataque;baja_confianza_o_incertidumbre;posible_multietiqueta,request_http_method: POST | request_http_request: /blog/index.php/my-account/edit-profile/post.php/?action=edit&post=%7B%7B+data.id+%7D%7D%7Csleep+15%23 | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0 | request_referer: http://test-site.com/blog/index.php/my-account/edit-profile/post.php/?action=edit&post=%7B%7B%20data.id%20%7D%7D | request_host: test-site.com | request_cookie: comment_author_url_1aefbe2f76edd740f8e362f39da3353b=http%3A%2F%2Fwww.example.com; comment_author_email_1aefbe2f76edd740f8e362f39da3353b=foo-bar%40example.com; comment_author_1aefbe2f76edd740f8e362f39da3353b=concept; wordpress_test_cookie=WP+Cookie+check | request_content_type: application/x-www-form-urlencoded | request_body: username=cautiousJaguar2&password=lMzE#k9c&user-registration-login-nonce=6eac0e2d5f&_wp_http_referer=%2Fblog%2Findex.php%2Fmy-account%2Fedit-profile%2Fpost.php%2F%3Faction%3Dedit%26post%3D%257B%257B%2520data.id%2520%257D%257D&login=Login&redirect=&rememberme=forever,000 - Normal,153 - Input Data Manipulation,000 - Normal,242 - Code Injection;66 - SQL Injection,66 - SQL Injection
7,76,0.763262,desacuerdo_alto_entre_tecnicas;conflicto_normal_vs_ataque;baja_confianza_o_incertidumbre,request_http_method: GET | request_http_request: /blog/%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd/2020/03/23/fuga-aut-recusandae-sed-dolor-quia/embed | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0 | request_host: test-site.com | request_cookie: wordpress_test_cookie=WP+Cookie+check,000 - Normal,126 - Path Traversal,274 - HTTP Verb Tampering,,
8,94,0.763262,desacuerdo_alto_entre_tecnicas;conflicto_normal_vs_ataque;baja_confianza_o_incertidumbre,request_http_method: GET | request_http_request: /blog/%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C/2020/04 | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0 | request_referer: http://test-site.com/ | request_host: test-site.com | request_cookie: wordpress_logged_in_1aefbe2f76edd740f8e362f39da3353b=rafael%7C1595186814%7CJXKR2dCAupLoAglXHclubbgwQJ4BL3zNKjxcob6dgUn%7Cfd5bc3380dc730cacaf855e46730c46b2fa753b2bb8d9f1096c95b5b8090acb3; wordpress_test_cookie=WP+Cookie+check,000 - Normal,126 - Path Traversal,274 - HTTP Verb Tampering,,
9,101,0.763262,desacuerdo_alto_entre_tecnicas;conflicto_normal_vs_ataque;baja_confianza_o_incertidumbre,request_http_method: GET | request_http_request: /%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd/index.php/2020/04/04/hic-porro-nihil-non-rerum | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0 | request_host: test-site.com,000 - Normal,126 - Path Traversal,272 - Protocol Manipulation,,
10,149,0.763262,desacuerdo_alto_entre_tecnicas;conflicto_normal_vs_ataque;baja_confianza_o_incertidumbre,request_http_method: GET | request_http_request: /blog/index.php/%2Fetc%2Fpasswd/vtromp | request_user_agent: Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0 | request_referer: http://test-site.com/blog/index.php/author/vtromp/ | request_host: test-site.com | request_cookie: wordpress_test_cookie=WP+Cookie+check,000 - Normal,126 - Path Traversal,310 - Scanning for Vulnerable Software,,
