row_id,score__272_Protocol_Manipulation,score__242_Code_Injection,score__88_OS_Command_Injection,score__126_Path_Traversal,score__66_SQL_Injection,score__16_Dictionary_based_Password_Attack,score__310_Scanning_for_Vulnerable_Software,score__153_Input_Data_Manipulation,score__274_HTTP_Verb_Tampering,score__194_Fake_the_Source_of_Data,score__34_HTTP_Response_Splitting,score__33_HTTP_Request_Smuggling
0,0.45596402883529663,0.18750722706317902,0.22761625051498413,0.12801629304885864,0.05233995243906975,0.15709489583969116,0.1668638437986374,0.13391374051570892,0.36209118366241455,0.3085697889328003,0.3329780101776123,0.3340227007865906
1,0.47363996505737305,0.16509968042373657,0.21182884275913239,0.08165470510721207,-0.025620199739933014,0.1631939709186554,0.1749991476535797,0.15300175547599792,0.38127076625823975,0.344296932220459,0.2983608841896057,0.3187876343727112
2,0.4836674928665161,0.19947397708892822,0.25417983531951904,0.14970937371253967,0.022705620154738426,0.3709580600261688,0.2237171232700348,0.14381901919841766,0.4677186906337738,0.34557369351387024,0.324687659740448,0.3396720886230469
3,0.4223133623600006,0.1966402530670166,0.24791240692138672,0.06198270618915558,0.03562657907605171,0.07714394479990005,0.11998406052589417,0.11302819848060608,0.31065136194229126,0.3246604800224304,0.2651113271713257,0.30409154295921326
4,0.45412904024124146,0.20293273031711578,0.25571927428245544,0.07083005458116531,0.03536855801939964,0.08314469456672668,0.13398736715316772,0.12882386147975922,0.32142072916030884,0.3403433561325073,0.2772211730480194,0.3239038586616516
5,0.4970572292804718,0.20705510675907135,0.2198445200920105,0.15073725581169128,0.012744471430778503,0.15612828731536865,0.1777237355709076,0.23306484520435333,0.40019136667251587,0.3238803744316101,0.28503096103668213,0.3333204388618469
6,0.5147264003753662,0.15797555446624756,0.2635015845298767,0.0768926739692688,0.042512983083724976,0.1420038342475891,0.14769837260246277,0.20723050832748413,0.4099212884902954,0.34173405170440674,0.32901906967163086,0.35635173320770264
7,0.5197489261627197,0.15815529227256775,0.2607243061065674,0.07529230415821075,0.03865160793066025,0.13910982012748718,0.14181797206401825,0.20327453315258026,0.4145459830760956,0.35897424817085266,0.32667607069015503,0.35974258184432983
8,0.4250069856643677,0.15963467955589294,0.11243516206741333,0.07497939467430115,0.005929563194513321,0.10652188211679459,0.13548991084098816,0.1660616248846054,0.3021309971809387,0.30624932050704956,0.2658050060272217,0.2983397841453552
9,0.4625229835510254,0.21442285180091858,0.24422185122966766,0.12405791878700256,0.00711439736187458,0.1692521572113037,0.1857301890850067,0.22749048471450806,0.37212619185447693,0.3956737220287323,0.26460686326026917,0.3251226842403412
